smallRNAName	NC1	NC2	NC3	NC4	NC5	Pcos1	Pcos2	Pcos3	Pcos4	Pcos5
tsrna-11998	0	0	0	8.809718882	0	5.979895591	0	1.992111239	16.99447113	3.285205079
tsrna-25649	0	0	1.291517443	22.0242972	0	5.979895591	0	1.992111239	11.32964742	0
tsrna-24240	2.635421114	0	6.457587213	8.809718882	1.255366693	5.979895591	11.2999032	1.992111239	11.32964742	6.570410158
tsrna-13510	7932.617553	12224.76129	7059.434341	8761.265428	6594.441236	14196.27213	7058.672864	5215.347225	15872.83604	10644.06446
tsrna-04433	23.71879003	3.25213123	7.749104656	39.64373497	6.276833463	11.95979118	15.0665376	3.984222479	79.30753195	9.855615237
tsrna-12456	47.43758005	18.42874364	65.86738957	74.8826105	41.42710086	29.89947796	60.26615039	47.81066975	232.2577721	68.98930666
tsrna-11765	0	0	0	0	0	5.979895591	3.766634399	3.984222479	22.65929484	0
tsrna-14256	2.635421114	0	0	4.404859441	0	5.979895591	7.533268798	1.992111239	0	3.285205079
tsrna-16131	0	1.084043743	0	0	1.255366693	0	0	1.992111239	0	0
tsrna-01562	2.635421114	0	7.749104656	0	6.276833463	11.95979118	7.533268798	13.94477868	11.32964742	13.14082032
tsrna-04576	0	0	0	4.404859441	0	0	0	0	0	0
tsrna-21651	0	0	0	0	0	0	0	1.992111239	0	0
tsrna-15310	0	0	2.583034885	0	1.255366693	0	3.766634399	3.984222479	11.32964742	6.570410158
tsrna-00942	0	0	0	0	0	0	0	1.992111239	5.664823711	3.285205079
tsrna-25654	0	0	2.583034885	22.0242972	0	0	0	0	0	0
tsrna-06853	0	0	0	4.404859441	2.510733385	0	3.766634399	1.992111239	5.664823711	0
tsrna-10278	134.4064768	34.68939979	64.57587213	79.28746994	31.38416732	95.67832946	90.39922558	47.81066975	84.97235566	55.84848634
tsrna-24172	0	0	0	0	1.255366693	0	0	0	0	0
tsrna-21599	5.270842228	0	10.33213954	8.809718882	2.510733385	0	3.766634399	0	16.99447113	13.14082032
tsrna-16947	2.635421114	0	0	4.404859441	3.766100078	0	0	3.984222479	0	0
tsrna-21786	0	0	2.583034885	0	0	0	0	1.992111239	0	3.285205079
tsrna-04672	0	0	0	0	1.255366693	0	0	0	5.664823711	0
tsrna-13609	39.53131671	4.336174973	14.20669187	39.64373497	16.319767	11.95979118	41.43297839	7.968444958	96.30200308	13.14082032
tsrna-17499	2.635421114	1.084043743	0	0	0	0	0	0	0	0
tsrna-06970	2.635421114	0	0	13.21457832	0	0	0	1.992111239	5.664823711	3.285205079
tsrna-25489	2.635421114	0	0	0	0	0	0	0	0	0
tsrna-26330	2.635421114	1.084043743	1.291517443	0	7.532200156	0	0	1.992111239	5.664823711	3.285205079
tsrna-01584	0	1.084043743	0	0	0	0	0	0	0	3.285205079
tsrna-19774	26.35421114	16.26065615	10.33213954	13.21457832	12.55366693	17.93968677	82.86595678	13.94477868	73.64270824	36.13725587
tsrna-04095	0	0	1.291517443	0	0	0	0	0	0	0
