GeneID	ACF001	ACF002	ACF004	ACF006	ALI001	ALI003	ALI006	ALI007
"LOC100288170"	0.0	0.0	0.0	38.0	142.0	0.0	0.0	0.0
"FBXO30"	0.0	49.0	0.0	72.0	0.0	122.0	0.0	85.0
"FAM90A1"	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0
"FBXO31"	398.0	1325.0	255.0	339.0	1.0	176.0	189.0	297.0
"LOC642461"	0.0	54.0	0.0	32.0	0.0	0.0	0.0	0.0
"AGAP1-IT1"	0.0	0.0	53.0	0.0	0.0	0.0	43.0	0.0
"LOC284933"	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0
"RP5-988G17.1"	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0
"LRRC37BP1"	0.0	0.0	0.0	42.0	0.0	0.0	0.0	12.0
"PPWD1"	74.0	86.0	0.0	0.0	0.0	34.0	0.0	38.0
"HTR2C"	0.0	190.0	0.0	0.0	0.0	0.0	0.0	110.0
"LOC102724973"	0.0	0.0	0.0	0.0	209.0	0.0	0.0	0.0
"HTR2A"	36.0	0.0	31.0	0.0	0.0	0.0	0.0	7.0
"LOC642496"	0.0	27.0	1.0	22.0	0.0	9.0	0.0	0.0
"LOC102724975"	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0
"LOC100288102"	0.0	0.0	0.0	36.0	77.0	0.0	42.0	0.0
"LOC102724974"	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0
"BOC"	0.0	434.0	0.0	0.0	0.0	142.0	1.0	149.0
"SPDL1"	0.0	36.0	0.0	126.0	0.0	19.0	0.0	0.0
"MBL2"	0.0	58.0	0.0	0.0	0.0	28.0	0.0	0.0
"BOK"	368.0	389.0	90.0	370.0	91.0	47.0	27.0	257.0
"SLC36A1"	0.0	283.0	0.0	0.0	0.0	0.0	0.0	0.0
"SLC36A3"	34.0	0.0	64.0	0.0	0.0	0.0	0.0	130.0
"SLC36A2"	125.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0
"HTR3E"	0.0	101.0	0.0	41.0	1.0	0.0	0.0	0.0
"VPS13C"	194.0	253.0	93.0	166.0	162.0	107.0	15.0	202.0
"VPS13D"	0.0	194.0	50.0	560.0	67.0	0.0	5.0	38.0
"DHPS"	560.0	1046.0	115.0	469.0	165.0	228.0	312.0	158.0
"VPS13A"	212.0	295.0	140.0	156.0	81.0	57.0	124.0	56.0
"HTR3C"	0.0	0.0	26.0	0.0	233.0	0.0	0.0	0.0
"HTR3D"	0.0	0.0	1.0	57.0	0.0	146.0	0.0	0.0
"VPS13B"	0.0	79.0	148.0	70.0	0.0	0.0	32.0	98.0
"HTR3A"	63.0	0.0	0.0	28.0	0.0	0.0	26.0	0.0
"HTR3B"	0.0	0.0	0.0	0.0	0.0	41.0	72.0	69.0
"RABGGTA"	374.0	875.0	549.0	402.0	332.0	66.0	398.0	583.0
"CD24P4"	1.0	3.0	20.0	0.0	1.0	54.0	3.0	1.0
"CD24P1"	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0
"CD24P2"	150.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0
"C1D"	0.0	90.0	0.0	0.0	0.0	35.0	0.0	38.0
"LOC257396"	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0
"BPI"	1.0	130.0	0.0	160.0	0.0	0.0	88.0	0.0
"CYP51A1P1"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0
"C1S"	697.0	966.0	708.0	140.0	758.0	419.0	54.0	649.0
"C1R"	1861.0	1023.0	1343.0	191.0	1211.0	657.0	411.0	619.0
"LOC100421552"	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0
"KCNQ5-IT1"	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0
"IL2RG"	402.0	432.0	558.0	232.0	274.0	353.0	517.0	419.0
"CYP51A1P2"	118.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0
"CYP1D1P"	0.0	22.0	40.0	159.0	0.0	0.0	0.0	0.0
"LOC100288125"	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0
"LOC100288123"	0.0	134.0	0.0	0.0	0.0	0.0	0.0	0.0
"SLC36A4"	0.0	0.0	0.0	36.0	2.0	29.0	20.0	10.0
"GPKOW"	54.0	246.0	315.0	435.0	0.0	128.0	152.0	115.0
"TRDJ1"	84.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"HTR5A"	0.0	0.0	0.0	0.0	186.0	27.0	28.0	0.0
"BRE"	1.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0
"IL2RA"	1.0	219.0	81.0	50.0	0.0	1.0	0.0	0.0
"LOC100421561"	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0
"IL2RB"	173.0	199.0	249.0	677.0	0.0	138.0	125.0	295.0
"LOC727896"	0.0	1.0	88.0	28.0	0.0	159.0	0.0	0.0
"LGALSL"	91.0	58.0	48.0	280.0	122.0	1.0	0.0	37.0
"PEX26"	521.0	158.0	260.0	624.0	641.0	310.0	377.0	445.0
"LOC102724935"	1.0	0.0	0.0	276.0	0.0	0.0	0.0	0.0
"LGALS4"	14853.0	21436.0	13664.0	2190.0	12104.0	11707.0	10061.0	10092.0
"C4B"	267.0	42.0	8.0	0.0	17.0	228.0	88.0	328.0
"C4A"	86.0	64.0	0.0	1.0	5.0	1.0	55.0	1.0
"LGALS3"	3764.0	5464.0	2752.0	211.0	6181.0	2822.0	1720.0	1832.0
"LGALS2"	263.0	393.0	863.0	319.0	590.0	434.0	224.0	212.0
"IL36A"	0.0	57.0	0.0	37.0	0.0	0.0	0.0	0.0
"LGALS1"	1506.0	4401.0	1463.0	2321.0	1440.0	873.0	1351.0	1271.0
"MCIDAS"	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0
"IL36B"	0.0	0.0	0.0	48.0	8.0	20.0	0.0	0.0
"HMGN2P45"	0.0	0.0	0.0	0.0	0.0	0.0	42.0	22.0
"LOC102724930"	0.0	70.0	355.0	0.0	585.0	170.0	40.0	132.0
"LOC102724933"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0
"HMGN2P43"	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0
"LOC102724932"	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0
"BSG"	9060.0	10552.0	5897.0	3243.0	5861.0	3886.0	4434.0	5179.0
"LOC100506985"	0.0	146.0	0.0	0.0	0.0	0.0	0.0	0.0
"HMGN2P41"	84.0	332.0	68.0	276.0	0.0	3.0	33.0	95.0
"AC002480.3"	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0
"LGALS9"	3020.0	4705.0	3548.0	2638.0	3858.0	2366.0	1945.0	3369.0
"BSN"	0.0	0.0	86.0	257.0	71.0	0.0	0.0	41.0
"LOC102724939"	0.0	89.0	0.0	36.0	0.0	0.0	0.0	0.0
"INHBA-AS1"	127.0	50.0	0.0	57.0	0.0	25.0	0.0	0.0
"BSX"	0.0	0.0	0.0	0.0	87.0	0.0	0.0	168.0
"LOC102724946"	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0
"BTD"	85.0	0.0	0.0	1.0	629.0	0.0	70.0	109.0
"CFDP1"	169.0	346.0	196.0	64.0	247.0	150.0	305.0	111.0
"LOC102724942"	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0
"CRISPLD1"	0.0	50.0	0.0	106.0	0.0	0.0	0.0	0.0
"CRISPLD2"	215.0	1.0	0.0	0.0	439.0	80.0	395.0	154.0
"SUB1"	616.0	517.0	276.0	181.0	4.0	119.0	103.0	186.0
"LOC102724943"	132.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"BTK"	86.0	418.0	41.0	805.0	1.0	173.0	117.0	0.0
"LOC727874"	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0
"DHX8"	82.0	536.0	73.0	528.0	893.0	69.0	137.0	349.0
"DHX9"	229.0	67.0	41.0	654.0	0.0	145.0	169.0	255.0
"LOC727838"	99.0	15.0	0.0	109.0	0.0	0.0	0.0	0.0
"NKAIN2"	0.0	0.0	0.0	0.0	0.0	18.0	0.0	53.0
"LOC102724957"	0.0	68.0	0.0	28.0	0.0	0.0	0.0	0.0
"NKAIN1"	0.0	137.0	0.0	0.0	0.0	0.0	0.0	0.0
"LOC390282"	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0
"LOC100288203"	0.0	277.0	1.0	107.0	171.0	1.0	0.0	1.0
"RACGAP1"	0.0	193.0	104.0	226.0	52.0	38.0	38.0	86.0
"LOC102724952"	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0
"LOC102724955"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0
"OR5G4P"	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0
"SLC10A4"	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0
"BBS2"	116.0	22.0	0.0	81.0	0.0	38.0	115.0	115.0
"BBS1"	0.0	0.0	41.0	212.0	5.0	5.0	60.0	0.0
"XBP1"	255.0	1038.0	318.0	1140.0	1015.0	729.0	379.0	659.0
"SLC10A7"	0.0	68.0	22.0	47.0	0.0	0.0	0.0	1.0
"HSD17B1P1"	0.0	65.0	0.0	41.0	0.0	0.0	106.0	0.0
"SLC10A1"	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0
"SPDYC"	0.0	0.0	0.0	351.0	0.0	0.0	0.0	0.0
"RP11-173B14.5"	0.0	0.0	0.0	113.0	0.0	0.0	0.0	0.0
"SLC10A2"	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0
"SLC10A3"	484.0	448.0	264.0	99.0	0.0	210.0	270.0	221.0
"SUCO"	120.0	347.0	104.0	148.0	1.0	1.0	175.0	127.0
"LOC102724967"	1.0	1.0	74.0	0.0	0.0	29.0	24.0	0.0
"PEX5L"	119.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"LOC100506990"	0.0	0.0	0.0	30.0	0.0	1.0	0.0	0.0
"LOC102724969"	0.0	79.0	1.0	0.0	0.0	0.0	0.0	0.0
"MC1R"	0.0	186.0	58.0	0.0	0.0	41.0	19.0	0.0
"LOC102724964"	0.0	0.0	0.0	0.0	0.0	123.0	0.0	0.0
"LOC102724963"	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0
"LOC102724965"	0.0	268.0	0.0	0.0	0.0	0.0	0.0	0.0
"LOC390298"	0.0	0.0	183.0	7.0	0.0	0.0	0.0	0.0
"LOC101805491"	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0
"LOC101927800"	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0
"LOC101927801"	0.0	0.0	0.0	0.0	101.0	0.0	0.0	0.0
"OR3A4P"	0.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0
"C8B"	9.0	0.0	54.0	0.0	0.0	86.0	0.0	102.0
"C8A"	17.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0
"C8G"	188.0	409.0	31.0	0.0	14.0	0.0	0.0	57.0
"BBS9"	48.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0
"BBS7"	61.0	79.0	0.0	142.0	0.0	0.0	26.0	64.0
"BBS5"	243.0	0.0	0.0	30.0	0.0	1.0	0.0	0.0
"LOC400043"	0.0	244.0	0.0	69.0	2.0	0.0	0.0	0.0
"BBS4"	0.0	0.0	18.0	78.0	0.0	0.0	0.0	61.0
"LOC101927809"	113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"ZHX2"	322.0	424.0	0.0	1066.0	0.0	0.0	356.0	146.0
"PCYT1B"	0.0	0.0	0.0	227.0	0.0	0.0	17.0	0.0
"PCYT1A"	146.0	61.0	2.0	0.0	0.0	79.0	126.0	177.0
"ZHX3"	128.0	80.0	0.0	106.0	0.0	121.0	47.0	64.0
